username,password_hash,usertype,id
user1,pass1,ROLE_CUSTOMER,1
user2,pass2,ROLE_CUSTOMER,2
user3,pass3,ROLE_CUSTOMER,3
user4,pass4,ROLE_CUSTOMER,4
user5,pass5,ROLE_CUSTOMER,5
user6,pass6,ROLE_CUSTOMER,6
user7,pass7,ROLE_CUSTOMER,7
user8,pass8,ROLE_CUSTOMER,8
user9,pass9,ROLE_CUSTOMER,9
user10,pass10,ROLE_CUSTOMER,10
sample1@sample.com,!Qqq123456,ROLE_TECHNICIAN,1
tech2,!Qqq123456,ROLE_TECHNICIAN,2
tech3,pass3,ROLE_TECHNICIAN,3
tech4,pass4,ROLE_TECHNICIAN,4
sample5@sample.com,!Qqq123456,ROLE_TECHNICIAN,5
tech6,pass6,ROLE_TECHNICIAN,6
tech7,pass7,ROLE_TECHNICIAN,7
tech8,pass8,ROLE_TECHNICIAN,8
tech9,pass9,ROLE_TECHNICIAN,9
tech10,pass10,ROLE_TECHNICIAN,10
admin,pass1,ROLE_ADMIN,1
admin@admin.com,pass1,ROLE_ADMIN,2
